genNum,genMean,genBest
1,0.0,0
2,1310.069306930693,4497
3,2633.4554455445545,7209
4,3952.237623762376,8869
5,4982.19801980198,11477
6,5828.227722772277,13444
7,7510.188118811881,14862
8,8783.079207920791,17877
9,10087.782178217822,19270
10,11624.39603960396,20190
11,13480.376237623763,22971
12,14721.069306930693,27442
13,15525.564356435643,27442
14,16238.653465346535,27978
15,17717.48514851485,27978
16,19180.366336633662,27978
17,19956.772277227723,29713
18,20907.653465346535,29713
19,22563.534653465347,32453
20,23744.970297029704,33566
21,24937.41584158416,34106
22,25938.58415841584,34726
23,26317.20792079208,36457
24,27902.752475247526,36457
25,29555.68316831683,37165
26,29943.80198019802,40167
27,31146.871287128713,40380
28,31710.08910891089,40439
29,33874.762376237624,42429
30,35418.653465346535,47695
31,36459.346534653465,47695
32,37687.70297029703,47695
33,38593.12871287129,49042
34,39532.77227722772,49042
35,40550.237623762376,51103
36,41395.544554455446,53541
37,42273.30693069307,53856
38,43210.267326732675,53856
39,43402.0198019802,56139
40,44880.36633663366,56310
41,46944.267326732675,59709
42,48715.71287128713,60028
43,49851.52475247525,60028
44,50962.346534653465,62791
45,51283.29702970297,66128
46,53127.18811881188,68567
47,54178.30693069307,68959
48,54939.346534653465,68959
49,56591.53465346534,70626
50,58153.47524752475,72036
51,59099.27722772277,72036
52,59838.67326732673,75802
53,59881.92079207921,75802
54,61636.19801980198,75802
55,63147.38613861386,76599
56,64900.32673267327,76599
57,65557.0,77688
58,66788.97029702971,81721
59,67441.89108910892,82868
60,68057.45544554456,82868
61,68736.66336633664,82868
62,69310.58415841585,85034
63,70398.67326732674,85034
64,71345.58415841585,85034
65,72022.61386138614,86491
66,72629.14851485149,86491
67,73022.65346534654,86491
68,73365.17821782178,86491
69,73886.34653465346,88694
70,76463.51485148515,91570
71,77227.65346534654,92740
72,78125.21782178218,92740
73,79421.53465346535,92795
74,81209.10891089108,95030
75,81896.47524752475,96628
76,82341.68316831683,96628
77,82966.47524752475,97963
78,84769.0396039604,97963
79,86121.56435643564,100911
80,86034.62376237624,106810
81,87237.64356435643,108519
82,88783.11881188118,108519
83,88033.88118811882,108519
84,88803.37623762376,109179
85,89889.61386138614,111002
86,90966.22772277228,113412
87,92160.0198019802,113412
88,92329.72277227722,113412
89,93080.93069306931,114355
90,94462.67326732674,116434
91,95768.41584158415,119502
92,97515.0099009901,120811
93,98593.80198019803,120811
94,99737.78217821782,120811
95,101597.69306930693,120811
96,100616.66336633664,121735
97,101949.9900990099,121735
98,103152.30693069307,121923
