genNum,genMean,genBest
1,0.0,0
2,1181.4752475247524,3938
3,2684.4653465346537,7322
4,4116.811881188119,9313
5,5850.3267326732675,13726
6,7466.168316831683,16711
7,8957.653465346535,20428
8,10271.346534653465,20428
9,11580.485148514852,21498
10,12902.277227722772,24141
11,14519.356435643564,24141
12,16168.386138613861,25767
13,17311.396039603962,29072
14,18892.465346534653,30106
15,20079.772277227723,30106
16,21464.178217821784,31016
17,23570.49504950495,31445
18,24746.673267326732,31651
19,25669.40594059406,33911
20,26144.673267326732,36087
21,27491.237623762376,36087
22,29197.47524752475,37779
23,30208.712871287127,39887
24,30899.811881188118,39887
25,31479.41584158416,40897
26,33205.0099009901,42310
27,34426.56435643564,42670
28,35600.851485148516,43279
29,36468.66336633663,44093
30,38332.82178217822,47041
31,39273.069306930694,47338
32,40532.267326732675,50338
33,41791.13861386139,52804
34,43499.0,54455
35,45502.44554455446,55672
36,46858.89108910891,58723
37,47358.22772277228,59851
38,48197.39603960396,61500
39,48286.47524752475,61500
40,49753.9801980198,66466
41,50409.63366336634,68590
42,51341.841584158414,68590
43,52096.91089108911,68590
44,52651.9702970297,68590
45,53595.50495049505,68590
46,53938.762376237624,68590
47,54422.36633663366,68590
48,55843.80198019802,68590
49,56534.207920792076,69745
50,57271.653465346535,69745
51,58148.83168316832,69745
52,59983.13861386139,69745
53,60554.88118811881,72562
54,61365.53465346534,72596
55,62341.47524752475,75247
56,63582.13861386139,76911
57,65209.94059405941,78016
58,65663.02970297029,78016
59,67252.15841584158,80557
60,68704.11881188118,82795
61,69676.27722772278,83752
62,71039.64356435643,84165
63,70903.62376237624,84165
64,71516.52475247525,84196
65,72152.06930693069,84196
66,73409.27722772278,84325
67,73929.49504950496,85504
68,75916.47524752475,85504
69,77258.70297029703,86438
70,77485.50495049504,90676
71,77756.64356435643,91591
72,78858.0594059406,91591
73,79547.74257425743,91906
74,79465.16831683168,99108
75,80492.24752475247,99108
76,81217.85148514851,99108
77,82238.97029702971,99108
78,83222.70297029703,99108
79,84657.14851485149,100547
80,86223.46534653465,100547
81,86990.64356435643,101283
82,88368.52475247525,101283
83,89317.86138613861,101283
84,89894.07920792079,102426
85,90600.0,102426
86,92078.60396039604,107095
87,93379.78217821782,107509
88,93555.58415841585,107509
89,94546.38613861386,107950
90,95241.900990099,108317
91,95986.52475247525,110441
92,96989.87128712871,112073
93,96950.18811881189,112073
94,98452.75247524753,112073
95,98903.0198019802,114714
96,99409.20792079208,114714
97,99946.64356435643,114714
98,100776.0594059406,114714
99,101537.54455445544,115829
100,102493.099009901,115935
101,103588.9504950495,116089
102,104577.34653465346,117106
103,105628.85148514851,117106
104,106242.9900990099,118725
105,106716.55445544554,121147
106,107501.79207920792,124269
107,108366.65346534654,124269
108,109547.56435643564,124269
109,110058.35643564357,124620
