genNum,genMean,genBest
1,259633.87,293052
2,262975.38613861386,293052
3,265206.099009901,294087
4,268064.0594059406,301881
5,272730.35643564357,301881
6,274835.62376237626,310048
7,279814.65346534655,315814
8,283999.37623762374,326518
9,288515.71287128713,326518
10,291080.14851485146,329424
11,293220.62376237626,329424
12,296579.900990099,329424
13,297061.9405940594,329424
14,300835.82178217825,329424
15,302518.396039604,332394
16,307649.3663366337,338222
17,307444.3267326733,344691
18,310371.38613861386,344691
19,310131.55445544556,344691
20,312471.75247524754,344691
21,313212.900990099,344691
22,315607.9306930693,344691
23,317636.95049504953,344691
24,318557.1287128713,346868
25,320343.0198019802,349605
26,319951.1287128713,353654
27,319428.5346534653,354397
28,320934.2574257426,354397
29,322009.3267326733,354397
30,323392.82178217825,354397
31,325397.900990099,354397
32,327123.7722772277,357974
33,327430.297029703,357974
34,329451.42574257427,357974
35,330930.9702970297,366707
36,332646.21782178216,366707
37,330478.9405940594,366707
38,335408.37623762374,366707
39,337683.0,366707
40,340622.58415841585,366707
41,341498.9900990099,366707
42,341747.11881188117,369235
43,332931.4356435643,370539
44,330594.1089108911,370547
45,327507.702970297,371206
46,333322.3267326733,379437
47,319604.9108910891,379437
48,303004.198019802,379437
49,311930.8712871287,379437
50,306145.3267326733,388445
51,277329.0891089109,388445
52,282226.2673267327,388445
53,268704.8613861386,388445
54,271759.34653465345,388445
55,258640.64356435643,388445
56,244492.94059405942,388445
57,288174.1287128713,388445
58,273593.28712871287,388445
59,263243.24752475246,388445
60,267501.2079207921,392711
61,240040.8712871287,392711
62,250938.24752475249,392711
63,255596.9801980198,392711
64,229632.9900990099,392711
65,211739.54455445544,392711
66,212116.9306930693,392711
67,218391.9306930693,392711
68,214677.68316831684,392711
69,233659.82178217822,392711
70,244390.34653465348,392711
71,208554.72277227722,392711
72,216357.0396039604,392711
73,213344.58415841585,392711
74,206172.8316831683,392711
75,205055.9306930693,392711
76,243046.15841584158,392711
77,254478.30693069307,392711
78,260414.56435643564,392711
79,242799.84158415842,392711
80,260884.91089108912,392711
81,257796.75247524751,392897
82,245783.38613861386,392897
83,257673.0297029703,392897
84,279799.8712871287,394101
85,268536.099009901,394101
86,271765.702970297,394101
87,257719.43564356436,396248
88,271946.41584158415,396248
89,245505.10891089108,396248
90,277095.48514851485,396248
91,260018.13861386137,396248
92,273933.3267326733,396248
93,270337.5346534653,396248
94,264154.65346534655,401076
95,258085.099009901,401076
96,227535.32673267327,401076
97,213639.71287128713,401076
98,228539.47524752477,401076
99,232807.9702970297,401076
100,204394.20792079208,401076
