genNum,genMean,genBest
1,0.0,0
2,1237.43,4557
3,3706.51,7624
4,6289.82,11716
5,8838.79,14158
6,11241.22,16294
7,13649.77,19751
8,16000.72,21309
9,18244.91,24333
10,20428.81,26686
11,22516.66,28349
12,24624.12,32645
13,26719.29,34044
14,28860.18,34539
15,30852.12,37194
16,32739.79,40824
17,34727.21,42369
18,36718.82,46049
19,38588.25,49139
20,40498.19,49139
21,42443.26,50844
22,44317.82,53436
23,46138.63,54702
24,47982.66,56717
25,49811.68,59497
26,51560.03,62394
27,53339.47,65318
28,54959.34,66893
29,56514.33,68403
30,58208.42,68403
31,59938.6,68460
32,61542.89,71726
33,63115.3,74911
34,64684.09,75194
35,66211.88,75553
36,67852.23,77105
37,69595.96,81332
38,71035.87,82107
39,72413.53,82405
40,73909.21,82405
41,75411.18,85218
42,76710.56,86998
43,77920.38,88196
44,79192.68,91463
45,80577.97,91463
46,82015.94,91463
47,83328.61,95516
48,84675.76,95516
49,85999.47,98547
50,87341.7,101821
51,88824.05,106587
52,90191.65,106587
53,91615.31,106587
54,93016.43,110065
55,94195.15,110065
56,95466.62,110065
57,96839.44,110065
58,98079.65,111241
59,99140.33,112419
60,100305.14,112419
61,101449.64,115231
62,102407.3,115231
63,103539.13,115231
64,104658.12,119095
65,105712.74,121418
66,106862.37,122886
67,108011.59,122886
68,109092.05,122886
69,110026.73,122886
70,110914.17,125979
71,111840.2,131555
72,112859.28,132405
73,113951.74,134763
74,115025.16,134763
75,116083.53,136627
76,117118.86,136627
77,118175.71,136627
78,119220.3,136627
79,120088.7,136627
80,120912.16,136627
81,121834.59,136627
82,122795.53,136627
83,123635.71,136627
84,124465.6,137122
85,125333.55,140720
86,126193.74,146923
87,127083.17,146923
88,127978.48,146923
89,128911.08,146923
90,129990.02,148847
91,130846.62,148847
92,131703.8,148847
93,132657.43,148847
94,133405.8,148847
95,134061.3,150649
96,134777.21,150649
97,135693.72,150649
98,136692.31,150649
99,137301.05,151329
100,137962.05,151329
101,138797.63,153860
102,139438.49,154210
103,140060.26,154210
104,140635.08,154444
105,141212.0,155629
106,141990.64,156613
107,142759.51,156613
108,143440.14,156613
109,144077.59,156613
110,144462.24,157328
111,144996.67,157328
112,145647.32,157328
113,146142.46,158818
114,146647.63,161208
115,147134.24,161208
116,147801.52,161208
117,148494.47,161347
118,149079.06,163088
119,149675.37,163088
120,150343.8,163088
121,150971.19,163088
122,151602.39,163088
123,152205.25,165024
124,152715.06,165024
125,153325.59,165024
126,153917.3,165024
127,154504.16,167276
128,155033.13,167276
129,155575.53,167276
130,156058.55,167276
131,156495.7,167276
132,156935.27,167602
133,157429.51,168452
134,158018.27,168452
135,158573.78,169945
136,158890.16,173293
137,159190.88,173293
138,159650.23,173293
139,160204.89,176254
140,160572.3,176254
141,160998.52,176254
142,161426.93,176254
143,161773.39,178516
144,162128.15,179563
145,162535.85,179563
146,162986.26,179563
