genNum,genMean,genBest
1,0.0,0
2,1307.04,5080
3,3848.48,9555
4,6353.12,10678
5,8846.35,13450
6,11257.04,16572
7,13414.71,21276
8,15521.6,23927
9,17756.13,24674
10,19911.8,26081
11,21937.1,30674
12,24086.85,31545
13,26355.01,34967
14,28536.8,36819
15,30631.89,38500
16,32743.57,43671
17,34719.81,44646
18,36584.52,45555
19,38601.86,47834
20,40608.82,51468
21,42587.29,51468
22,44604.27,55018
23,46659.49,56520
24,48651.22,56561
25,50435.65,59607
26,52304.16,61981
27,54175.4,63778
28,55855.86,64613
29,57523.35,67062
30,59174.96,70550
31,60879.76,70550
32,62712.64,72748
33,64425.45,74230
34,66083.91,75469
35,67717.26,77941
36,69325.47,77941
37,71008.5,81060
38,72689.3,83030
39,74374.76,86665
40,75781.23,86665
41,77133.77,86665
42,78607.19,88912
43,80117.57,90985
44,81553.03,96278
45,83033.6,96278
46,84544.66,98795
47,85922.01,99054
48,87366.57,99054
49,88810.34,99054
50,90175.57,100079
51,91495.87,100105
52,92781.38,101122
53,94167.99,102132
54,95563.33,106748
55,96614.32,108719
56,97677.37,108719
57,98897.29,108719
58,100212.1,109879
59,101502.43,112565
60,102613.73,118150
61,103760.2,118150
62,105046.34,118150
63,106196.39,119713
64,107410.33,121715
65,108473.21,121715
66,109439.46,121715
67,110591.27,123117
68,111696.02,123457
69,112837.56,124740
70,114051.0,127187
71,115145.98,128070
72,116076.26,128070
73,116915.62,128070
74,117816.54,129610
75,118870.22,129610
76,119838.04,130256
77,120663.27,130916
78,121498.26,132209
79,122215.41,137020
80,123026.99,137020
81,123925.53,143371
82,124790.81,144739
83,125592.98,144739
84,126409.07,144739
85,127291.4,145421
86,128122.63,145421
87,128963.41,145421
88,129732.06,145903
89,130359.99,145903
90,131150.92,145903
91,131892.32,146235
92,132609.85,146235
93,133347.98,146717
94,134110.3,146721
95,134939.04,147906
96,135661.03,147906
97,136449.77,149219
98,137339.0,149219
99,138165.88,149560
100,138826.71,154769
101,139427.81,154769
102,140118.99,155290
103,140794.97,155290
104,141445.07,155290
105,142074.12,155290
106,142631.04,155290
107,143210.57,155290
108,143796.71,156150
109,144320.85,157073
110,144863.51,157073
111,145395.78,157073
112,146041.98,159596
113,146714.24,160848
114,147335.28,160848
115,147841.37,160848
116,148194.04,162003
117,148680.34,163996
118,149265.36,163996
119,149895.14,165586
120,150408.34,165895
121,150825.9,165895
122,151258.14,165895
123,151762.01,167024
124,152234.94,167024
125,152684.97,167024
126,153124.61,167316
127,153621.21,168682
128,154153.0,168682
129,154579.12,173603
130,154965.39,173603
131,155532.96,173603
132,156000.98,173603
133,156649.03,173603
134,157003.71,174765
135,157284.33,175717
136,157766.12,175717
137,158327.2,175717
138,158753.58,176651
139,159084.88,179159
140,159591.97,179159
141,160171.93,179159
142,160780.54,179159
143,161294.74,179159
144,161724.37,180751
145,162061.55,180751
146,162421.0,180979
147,162716.53,180979
148,162961.86,180979
149,163161.84,180979
150,163550.04,180979
151,164107.73,180979
152,164586.37,180979
