genNum,genMean,genBest
1,0.0,0
2,1258.6,5545
3,3762.07,8725
4,6228.6,10696
5,8512.58,12939
6,10824.75,15380
7,13087.82,17706
8,15318.32,20287
9,17606.6,23191
10,19942.06,27032
11,22175.95,28267
12,24346.44,30880
13,26481.87,33535
14,28622.98,35800
15,30704.07,36833
16,32664.5,38958
17,34472.24,39836
18,36407.74,42317
19,38479.91,45140
20,40499.97,47222
21,42549.86,48601
22,44606.91,53793
23,46441.31,55790
24,48414.45,57500
25,50371.88,58155
26,52165.36,59252
27,53943.24,62746
28,55660.82,63151
29,57332.84,63985
30,58940.6,68622
31,60564.0,71140
32,62151.04,73008
33,63584.0,74043
34,65069.31,77514
35,66650.33,77514
36,68247.15,78878
37,69903.43,79917
38,71521.76,80949
39,72999.6,82346
40,74429.52,87563
41,75835.54,88560
42,77239.32,88560
43,78671.75,90621
44,80172.61,95025
45,81640.91,95025
46,83017.63,95673
47,84438.02,97541
48,85859.4,97541
49,87185.5,97541
50,88464.1,97541
51,89867.22,97541
52,91235.5,102388
53,92520.0,105368
54,93861.59,105791
55,95114.14,106395
56,96359.98,108264
57,97605.56,112122
58,98707.01,112122
59,99807.07,112494
60,100986.92,112494
61,102243.03,112540
62,103462.31,112540
63,104693.06,119674
64,105719.84,119674
65,106825.79,119674
66,108043.43,119946
67,109205.78,122165
68,110157.81,122598
69,111048.7,122598
70,111946.54,124262
71,112849.74,124262
72,113868.88,126238
73,114879.97,127603
74,115911.04,131351
75,116963.14,131351
76,117945.03,131351
77,118823.69,132079
78,119717.07,132079
79,120761.6,133657
80,121683.89,136643
81,122623.63,138192
82,123642.79,138192
83,124487.9,138847
84,125250.87,140582
85,126175.81,140582
86,127069.39,141757
87,127894.35,143022
88,128728.22,143615
89,129436.45,143615
90,130307.08,143615
91,131135.36,145959
92,131891.86,145959
93,132781.75,145959
94,133641.57,146478
95,134281.91,146478
96,135033.26,148274
97,135743.29,148274
98,136479.29,148274
99,137209.08,148274
100,137873.97,149151
101,138520.32,149688
102,139309.23,149688
103,140179.69,154959
104,140872.28,154959
105,141572.24,157881
106,142238.27,158720
107,142875.3,158720
108,143573.38,158720
109,144416.34,158720
110,145119.71,158720
111,145740.09,158720
112,146479.86,158720
113,147096.68,158720
114,147683.31,159185
115,148262.39,161257
116,148698.29,163911
117,149116.92,166259
118,149647.14,166259
119,150387.74,167172
120,150978.34,167172
121,151343.21,167172
122,151645.7,170113
123,152068.56,170113
124,152623.2,170113
125,153104.23,170113
126,153589.24,171231
127,153986.52,175268
128,154337.63,175268
129,154802.32,175268
130,155474.21,175268
131,156078.84,175268
132,156412.99,175268
133,156949.54,175268
134,157569.08,175268
135,158167.76,175268
136,158656.37,175268
137,159161.27,175268
138,159623.68,175268
139,160013.34,175268
140,160359.91,177520
141,160689.69,177520
142,161111.8,177520
143,161654.15,178291
144,162221.14,178291
145,162863.24,180691
146,163246.48,180691
147,163530.4,182880
148,163900.7,183581
149,164254.31,183581
150,164614.4,183581
151,164980.93,183581
152,165407.92,183581
153,165877.27,183581
154,166314.77,183581
155,166730.35,183581
156,167165.43,183581
157,167433.86,183581
158,167772.31,183581
159,168084.92,183581
160,168344.23,183581
161,168638.91,183581
162,169029.66,183581
163,169438.24,183581
164,169660.08,183581
165,169885.75,183581
166,170173.56,184500
167,170441.01,186153
168,170775.1,188921
169,171126.63,188921
170,171423.36,188921
171,171773.87,188921
172,172110.01,188921
173,172515.03,188921
174,172905.32,188921
175,173064.47,188921
176,173321.43,188921
177,173696.12,188921
178,173933.39,188921
179,174217.49,188921
180,174600.06,189279
181,174700.35,189279
