genNum,genMean,genBest
1,0.0,0
2,10975.74,31039
3,32928.21,54873
4,54071.96,80263
5,73722.47,99889
6,91915.39,118650
7,109257.79,137541
8,126166.1,151424
9,142110.21,173427
10,156649.83,189377
11,170490.91,201897
12,183844.64,214031
13,195550.52,221725
14,206444.1,241987
15,216771.3,245093
16,226807.19,257143
17,236995.88,263499
18,246739.35,270438
19,255387.36,283473
20,263114.28,291465
21,270752.88,297191
22,277537.02,306721
23,283751.1,316236
24,290165.6,324075
25,296226.56,325959
26,302197.21,325959
27,307756.0,335365
28,312694.86,338364
29,317573.18,352140
30,322245.21,352140
31,316021.89,352758
32,316106.31,352758
33,312508.65,352758
34,294129.51,354679
35,289251.45,359104
36,263497.49,359104
37,233573.77,359487
38,238339.02,360875
39,232815.08,364434
40,206055.83,364434
41,196553.45,364434
42,172872.08,364434
43,166895.11,364434
44,153371.31,366736
45,139182.34,366736
46,125476.04,366736
47,115238.78,366736
48,112062.28,366736
49,77010.75,366736
50,95262.91,368753
51,99009.29,368753
52,95872.01,368753
53,71036.29,368753
54,64199.5,368753
55,64376.17,369786
56,64357.96,370774
57,75141.97,371140
58,71729.03,373812
59,54023.2,379321
60,61330.45,379321
61,75723.94,379321
62,86594.59,379321
63,83487.81,379321
64,79602.88,379321
65,60977.68,379321
66,61132.5,379321
67,90295.99,379321
68,93722.31,380126
69,71858.64,380126
70,46410.16,380126
71,39373.02,380126
72,50924.58,380126
73,69338.29,380126
74,76517.45,380126
75,90819.4,380126
76,72556.86,380126
77,72939.94,380126
78,76510.6,380126
79,69081.25,380126
80,65067.82,380927
81,76200.49,380927
82,64952.7,380927
83,53951.25,380927
84,54410.51,380927
85,76137.09,380927
86,79294.1,380927
87,61302.27,380927
88,57859.96,380927
89,57964.59,380927
90,65571.44,380927
91,83429.54,380927
92,79905.76,380927
93,98209.18,380927
94,90394.9,380927
95,90427.19,380927
96,86164.68,380927
97,71914.05,380927
98,86992.82,380927
99,79076.14,380927
100,72077.72,380927
101,54161.45,380927
102,46995.77,380927
103,69076.46,389324
104,61444.27,389324
105,79819.37,389324
106,91185.46,389324
107,79994.38,389324
108,65481.5,389324
109,69262.62,389324
110,69293.75,389324
111,62550.24,389324
112,66102.79,389324
113,92040.41,389324
114,91957.92,389324
115,77471.53,390757
116,95754.14,390757
117,84286.57,390757
118,77209.28,390757
119,80315.21,390757
120,87687.51,390757
121,65867.89,390757
122,55219.32,390757
123,65978.88,390757
124,76868.1,390757
125,65596.81,390757
126,58273.17,390757
127,63023.52,390757
128,66944.78,390757
129,69833.83,390757
130,76959.38,390757
131,77097.5,390757
132,73436.09,390757
133,62310.51,390757
134,58677.29,390757
135,55214.54,390757
136,48272.35,390757
137,51539.57,390757
138,88186.67,390757
139,55117.19,390757
140,43774.17,390757
141,59027.07,391615
142,44027.77,391615
143,62121.71,391615
144,69395.68,391615
145,55761.16,391615
146,47894.01,391615
147,47975.77,391615
148,47776.42,391615
149,44016.61,391615
150,55101.36,391615
151,58865.81,391615
152,58911.15,391615
153,62432.7,391615
154,69881.1,391615
155,76885.45,391615
156,57748.45,391615
157,68731.27,391615
158,94562.58,391615
159,65392.12,391615
160,72738.12,391615
161,65584.68,391615
162,58793.93,391615
163,54716.14,391615
164,62142.11,391615
165,51022.35,391615
166,47562.22,391615
167,66396.73,395445
168,77148.78,395445
169,69400.61,395445
170,62375.13,395445
171,73023.26,395445
172,70005.74,395445
173,77392.44,395445
174,69930.97,395445
175,62413.79,395445
176,62258.8,395445
177,58977.38,395445
178,50549.4,395445
179,50917.86,395445
180,40409.24,395445
181,36513.72,395445
182,43785.4,395445
183,32692.01,395445
184,40828.72,395445
185,55222.1,395445
186,51733.72,395445
187,77922.91,395445
188,70021.11,395445
189,81042.58,395445
190,69959.78,395445
191,55295.02,395445
192,47712.93,395445
193,80926.58,395445
194,77187.1,395445
195,62517.85,395445
196,81119.55,395445
197,73727.22,395445
198,80182.15,395445
199,83855.91,395445
200,113682.14,395445
201,95020.89,395445
202,73500.23,395445
203,80756.94,395445
204,84514.45,395445
205,77076.35,395445
206,73070.66,395445
207,76286.13,395445
208,76611.25,395445
209,76863.28,395445
210,80667.59,395445
211,73112.08,395445
212,96004.12,395445
213,81230.68,395445
214,62816.13,395445
215,40601.4,395445
216,47448.03,395445
217,62973.21,398543
218,73254.28,398543
219,77028.76,398543
220,51202.5,398543
221,44274.28,398543
222,58570.01,398543
223,69936.33,398543
224,55072.5,398543
225,58748.59,398543
226,54869.22,398543
227,62757.56,398543
228,80871.65,398543
229,88499.92,398543
230,69473.44,398543
231,70005.32,398543
232,70040.21,398543
233,69430.85,398543
234,88180.36,398543
235,87374.12,398543
236,72546.33,398543
237,58595.17,398543
238,62305.87,398543
239,70492.3,398543
240,73892.69,398543
241,73910.68,398543
242,65781.31,398543
243,65699.93,398543
244,58451.16,398543
245,69447.69,398543
246,69956.8,398543
247,69291.87,398543
248,69457.48,398543
249,58563.16,398543
250,72736.67,398543
251,76438.51,398543
252,58732.85,398543
253,55192.84,398543
254,61396.81,398543
255,65255.07,398543
256,54041.65,398543
257,58436.55,398543
258,57923.83,398543
259,47245.69,398543
260,72913.01,398543
261,84760.07,398543
262,66738.46,398543
263,47934.75,398543
264,55799.89,398543
265,55333.34,398543
266,74133.5,398543
267,59342.89,398543
268,66115.58,398543
269,66089.85,398543
270,66145.55,398543
271,40312.19,398543
272,55520.73,398543
273,47937.2,398543
274,44131.67,398543
275,43878.56,398543
276,40360.62,398543
277,44466.78,398543
278,48144.47,398543
279,47533.09,398543
280,51703.16,398543
281,48152.19,398543
282,52185.53,398543
283,40856.38,398543
284,32728.97,398543
285,59325.31,398543
286,40957.91,398543
287,41116.06,398543
288,59356.77,398543
289,59416.09,398543
290,55632.45,398543
291,55674.47,398543
292,74259.26,398543
293,84965.35,398543
294,81285.34,398543
295,81004.41,398543
296,99305.89,398543
297,109836.67,398543
298,102423.18,398543
299,84109.73,398543
300,58894.53,398543
301,66804.03,399787
302,82215.39,399787
303,70420.56,399787
304,47827.73,399787
305,62144.93,399787
306,77141.89,400253
307,69590.66,400253
308,81104.43,400253
309,63003.39,400253
310,84662.46,400253
311,84607.87,400253
312,62504.16,400253
313,62547.3,400253
314,55454.35,400253
315,47508.51,400656
316,47214.53,400656
317,66082.04,400656
318,73971.99,400656
319,66534.12,400656
320,58759.37,400656
321,62408.1,400656
322,69886.98,400656
323,69951.79,400656
324,69944.46,400656
325,62617.45,400656
326,70058.4,400656
327,65924.85,400656
328,73794.77,400656
329,81140.63,400656
330,63229.55,400656
331,58979.06,400656
332,61832.36,400656
333,47452.06,400656
334,47775.19,400656
335,58553.69,400656
336,58577.4,400656
337,51292.37,400656
338,33139.84,400656
339,59466.9,400656
340,77947.56,400656
341,63202.67,400656
342,69848.66,400656
343,94743.99,400656
344,91909.16,401835
345,91547.17,401835
346,83644.85,401835
347,84226.86,401835
348,58391.06,401835
349,48039.78,401835
350,55044.81,401835
351,58586.86,401835
352,78160.15,401835
353,66571.91,401835
354,77536.03,401835
355,92676.58,401835
356,107330.32,401835
357,114320.35,401835
358,99182.04,401835
359,103471.46,401835
360,129493.42,401835
361,117534.5,401835
362,106295.22,401835
363,121037.32,401835
364,109888.29,401835
365,76712.43,401835
366,73590.9,401835
367,88374.57,401835
368,95269.83,401835
369,76968.22,401835
370,73395.34,401835
371,62566.7,401835
372,69785.01,401835
373,62546.53,402376
374,66382.87,402376
375,95475.91,402376
376,73403.36,402376
377,65732.67,402376
378,55113.22,402376
379,55237.52,402376
380,58846.38,402376
381,62193.45,402376
382,69066.51,402376
383,62144.93,402376
384,51121.47,402376
385,51434.02,402376
386,58838.42,402376
387,66517.23,402376
388,71075.86,403137
389,66978.76,403137
390,73946.66,403137
391,99037.56,403137
392,95579.73,403137
393,77500.12,403137
394,48159.44,403137
395,47788.81,403137
396,59082.45,403137
397,55228.95,403232
398,62523.2,403232
399,81021.87,403232
400,85253.81,403232
401,66571.15,403232
402,58856.06,403232
403,73561.36,403232
404,85063.51,403232
405,69637.57,403232
406,84084.28,403232
407,92026.08,403232
408,96061.93,403232
409,81963.3,403232
410,66701.81,403232
411,77964.45,403232
412,77684.67,403232
