genNum,genMean,genBest
1,0.0,0
2,1352.77,5131
3,3876.28,8375
4,6408.34,11521
5,8907.9,14830
6,11258.25,17060
7,13695.49,18121
8,16264.54,21606
9,18599.19,24632
10,20869.89,26855
11,23177.63,29512
12,25499.0,32562
13,27906.61,34728
14,30204.05,36842
15,32350.43,39714
16,34491.51,41560
17,36464.24,43748
18,38473.96,44261
19,40508.5,48440
20,42389.11,52224
21,44255.44,55446
22,46124.65,58093
23,47967.61,58093
24,49995.34,59194
25,51744.98,60629
26,53612.22,63025
27,55260.8,66933
28,57065.48,66933
29,58947.56,71003
30,60704.89,71003
31,62463.33,71003
32,64132.14,71278
33,65758.53,74707
34,67391.57,76499
35,69207.83,81909
36,70791.96,83933
37,72342.71,83933
38,73884.26,84716
39,75520.09,84716
40,77074.68,86379
41,78522.1,87884
42,79900.75,91000
43,81304.89,92153
44,82915.22,95221
45,84586.04,97822
46,86144.8,97822
47,87739.12,97822
48,89361.44,98496
49,90933.25,101557
50,92345.74,101991
51,93789.08,104302
52,94985.52,104486
53,96186.73,105561
54,97516.66,110678
55,98833.48,114252
56,100026.11,114794
57,101426.52,114794
58,102459.61,115037
59,103442.09,115037
60,104737.75,118619
61,105848.17,118619
62,107174.62,121334
63,108091.12,121334
64,109272.08,123220
65,110534.98,123220
66,111971.81,123220
67,113267.22,123407
68,114462.84,126589
69,115487.51,132596
70,116528.57,132596
71,117929.95,133194
72,118854.38,134824
73,119939.41,137106
74,121442.39,137106
75,122721.62,138711
76,123426.98,138711
77,124599.13,139452
78,125414.15,142585
79,126138.61,142585
80,127356.2,144434
81,128176.47,144434
82,129327.47,147869
83,130213.43,147869
84,131367.36,149751
85,132551.17,149751
86,133514.84,152683
87,134491.06,152683
88,135348.0,153346
89,136117.92,153346
90,137379.39,153346
91,138722.3,156737
92,139620.89,156737
93,140940.64,159106
94,141823.35,161175
95,142371.06,161175
96,143185.11,161530
97,143905.11,161530
98,144848.52,161530
99,145690.3,164875
100,146781.77,164875
101,147776.33,164875
102,148595.26,165246
103,149133.59,167704
104,150088.36,167704
105,150994.29,167704
106,151878.39,168453
107,152423.57,168453
108,153123.15,168453
109,153953.18,168453
110,154754.92,168453
111,155215.83,169586
112,155719.15,169586
113,156442.04,169865
114,157034.59,170984
115,157714.76,172572
116,158131.28,172572
117,158829.91,175370
118,159251.84,176118
119,159704.11,176118
120,160429.55,177023
121,161359.7,177023
122,162214.13,178253
123,162565.12,178253
124,163107.97,178253
125,163887.02,178253
126,164676.95,178253
127,165450.54,178253
128,165941.26,178253
129,166692.88,178980
130,166989.56,178980
131,167574.93,181975
132,167899.82,185151
133,168755.63,190251
134,169239.93,190251
135,169753.29,190251
136,170293.46,190251
137,170827.95,190251
138,171568.47,190251
139,171901.95,190251
140,172697.23,190251
141,173498.56,190251
142,174011.21,190251
143,174404.11,190251
144,175062.69,190251
145,175742.56,192054
146,176394.91,194342
147,176554.33,194342
148,177008.18,194342
149,177782.48,196003
150,178261.21,196003
151,178746.83,196003
152,179158.68,196003
153,179384.13,196003
154,179802.17,196003
155,180182.35,196003
156,180479.03,198699
157,180635.1,198699
158,180982.27,199998
159,181127.23,200481
160,181298.29,201675
161,181339.88,201675
162,182121.44,201675
163,182761.3,201675
164,183428.03,202104
165,183930.08,202104
166,184309.1,202104
167,184533.31,202104
168,184776.16,202104
169,185289.86,202104
170,185533.65,202104
171,185760.91,202104
172,186215.3,202104
173,186644.61,202104
174,186938.95,202104
175,187063.51,202104
176,187411.41,202104
177,187696.46,203950
178,188181.27,203950
179,188451.37,204506
180,188461.91,205399
181,188782.56,205399
182,189100.48,205399
183,189415.99,205399
184,189725.62,205399
185,190106.1,205399
186,190376.11,205399
187,190730.61,205399
188,190874.38,205399
189,191009.14,205399
190,191014.78,205399
191,191246.02,205399
192,191488.05,205399
193,191685.12,205399
194,191876.0,205399
195,192210.07,205860
196,192464.98,205860
197,192470.68,205860
198,192602.25,205860
199,192470.45,205860
200,192360.24,205860
201,192461.99,205860
202,192618.88,205860
203,192344.73,205860
204,192622.76,206032
205,192532.1,206032
206,192560.03,206324
207,192395.78,206324
208,192556.91,206324
209,192762.27,206324
210,192924.78,206324
211,193014.27,206324
212,193146.52,206324
213,193132.94,207914
214,193110.22,207914
215,193179.32,207914
216,193367.66,207914
217,193423.3,207914
218,193332.17,207914
219,193487.62,207914
220,193595.12,207914
221,193864.0,207914
222,194145.61,207914
223,193992.7,207914
224,193973.49,207914
225,194035.42,207914
226,194135.65,207914
227,194339.01,207914
228,194307.06,207914
229,194287.66,207914
230,194371.16,207914
231,194511.07,208055
232,194223.75,208055
233,194407.76,208055
234,194512.86,208055
235,194755.54,208055
236,194948.62,208055
237,195130.12,208055
238,195171.46,208055
239,195416.83,208063
240,195629.13,208063
241,195562.57,208063
242,195404.79,209026
243,195495.62,209026
244,195804.68,209026
245,195720.89,209140
246,195913.41,209291
247,195721.7,209291
248,195804.87,211000
249,195478.96,211000
250,195652.92,211000
251,195927.18,211000
252,196064.6,211000
253,195979.15,211553
254,195931.89,211553
255,195871.43,211553
256,196254.07,211553
