genNum,genMean,genBest
1,0.0,0
2,1284.22,4806
3,3729.42,6957
4,6256.6,11535
5,8687.16,17036
6,10994.07,17323
7,13418.01,19854
8,15778.93,22731
9,18234.51,26228
10,20677.78,29219
11,22977.25,29219
12,25036.13,31061
13,27343.51,35343
14,29627.1,39189
15,31898.09,42603
16,34122.16,43662
17,36345.19,49494
18,38388.88,49494
19,40607.44,52790
20,42689.02,52790
21,44664.02,55582
22,46456.4,59672
23,48495.93,59672
24,50596.2,63719
25,52404.77,63719
26,54579.0,63719
27,56482.36,63719
28,58315.42,70942
29,60133.86,70942
30,61986.39,71109
31,63795.27,77828
32,65545.86,79687
33,67495.85,81209
34,69182.87,82015
35,71024.83,82725
36,72905.64,83501
37,74523.42,85941
38,76121.72,86707
39,77649.98,89463
40,79077.91,90910
41,80546.64,95150
42,82305.14,95150
43,83968.18,95150
44,85658.26,95496
45,87072.19,95550
46,88529.27,100807
47,90053.7,102410
48,91292.03,102410
49,92974.03,103636
50,94668.6,105260
51,96251.61,110026
52,97458.34,110285
53,98917.82,111601
54,100153.17,114398
55,101402.12,115266
56,102898.98,115266
57,104246.5,117114
58,105460.01,118532
59,106937.72,120137
60,108338.57,120137
61,109517.75,122391
62,110624.83,122391
63,111869.5,125137
64,112885.07,130617
65,114073.91,130617
66,115495.74,130617
67,116706.01,131948
68,117893.28,131948
69,119170.96,132595
70,120115.12,132595
71,121215.88,132595
72,122187.75,133923
73,123035.54,134893
74,124255.14,137965
75,125195.02,137965
76,126238.62,138546
77,127087.42,139619
78,127978.99,139619
79,129013.89,139941
80,130061.61,143081
81,131193.4,143081
82,132363.66,145138
83,133171.05,145138
84,134365.19,147028
85,135045.67,147028
86,135776.64,147028
87,136885.48,148840
88,137612.91,150491
89,138662.29,150491
90,139566.45,150919
91,140318.84,153012
92,141425.13,153595
93,142055.92,154942
94,142600.03,155523
95,143334.81,157702
96,143991.02,158781
97,144863.13,159487
98,145754.49,161180
99,146275.84,161517
100,146848.67,165864
101,147427.61,165956
102,148040.93,165956
103,148993.4,165956
104,150088.25,165956
105,151150.66,165956
106,152208.9,168982
107,153048.09,169597
108,154002.19,169597
109,154843.11,169597
