genNum,genMean,genBest
1,0.0,0
2,1145.81,4422
3,3470.63,7009
4,5877.43,10795
5,8383.09,12904
6,10981.35,15789
7,13385.61,19150
8,15688.78,21472
9,17957.4,23024
10,20327.56,26823
11,22610.38,28810
12,25017.34,33224
13,27210.51,35202
14,29379.78,36847
15,31522.48,40966
16,33523.23,42020
17,35606.03,43548
18,37548.91,47488
19,39582.02,50977
20,41715.51,50977
21,43929.63,56333
22,45805.28,56333
23,47838.3,57036
24,49881.53,58094
25,51801.11,60330
26,53447.94,64166
27,55082.32,65674
28,56740.06,67515
29,58706.2,70505
30,60509.66,70505
31,62470.39,71530
32,64479.78,73117
33,66088.98,75952
34,68054.96,76405
35,69817.97,82226
36,71346.76,82796
37,72964.18,85199
38,74550.84,88220
39,76059.37,88220
40,77885.13,89034
41,79671.69,91782
42,81051.33,92975
43,82652.77,92975
44,84391.12,97206
45,85856.3,97206
46,87549.07,97477
47,89103.19,100073
48,90636.85,100949
49,91929.63,102108
50,93169.12,105879
51,94513.88,105879
52,96110.68,105879
53,97570.25,109708
54,99113.38,112191
55,100452.4,115668
56,101725.57,116450
57,103359.05,116859
58,104586.21,119071
59,105981.72,125768
60,107019.33,125867
61,108262.19,127471
62,109595.58,130489
63,110627.38,130489
64,112190.5,130489
65,113302.12,130489
66,114843.53,130489
67,116078.96,131720
68,117190.0,132014
69,118489.04,135702
70,119483.05,135702
71,120446.09,137531
72,121343.61,137531
73,122575.4,140233
74,123605.05,140233
75,124639.86,140233
76,125775.52,140233
77,126775.67,140233
78,127597.93,143935
79,128357.42,143935
80,129553.79,143935
81,130389.37,144287
82,131493.95,144805
83,132694.81,144805
84,133847.74,145843
85,134800.79,148647
86,135594.23,150029
87,136307.86,150029
88,136824.79,150029
89,137388.55,150029
90,138193.37,152346
91,139357.23,155004
92,140009.56,155328
93,140805.32,156083
94,141670.71,156083
95,142379.71,161917
96,142946.83,161917
97,143879.77,162383
98,144475.89,162383
99,145427.94,162383
100,146103.62,162383
101,146963.55,162383
102,147668.61,163081
103,148076.81,163081
104,148717.19,165451
105,149514.72,167187
106,150507.96,167187
107,151686.83,167187
108,152523.96,167964
109,153411.61,168806
110,154267.64,168806
111,155063.26,168806
112,155941.29,171236
113,156362.58,171236
114,157019.74,172679
115,157443.8,172679
116,158146.64,172679
117,158740.52,172679
118,159706.93,174475
119,160421.76,175055
120,160822.57,179252
121,161167.19,179252
122,161837.49,179252
123,162901.09,179252
124,163537.05,179252
125,164236.76,179252
126,164686.72,179252
127,165082.63,179252
128,165484.22,179252
129,166083.98,179290
130,166202.4,179557
131,166891.29,183116
132,167415.29,183644
133,168413.27,183644
134,169020.89,183644
135,169736.08,185225
136,170430.79,185474
137,170676.73,185474
138,171309.09,185474
139,171732.45,185474
140,172235.02,185780
141,172780.56,185780
142,173350.05,188183
143,173437.85,188183
144,173746.43,188183
145,174082.59,188547
146,174478.24,188547
147,174982.24,188547
148,173418.09,188547
149,176011.84,188672
150,176503.66,188672
151,176939.65,188672
152,177036.98,188672
153,177421.37,190078
154,177588.77,190078
155,178094.39,190078
156,178592.69,192798
157,178806.93,192798
158,179350.07,192798
159,180028.06,196741
160,180238.3,196741
161,180910.62,197899
162,181404.95,197899
163,177908.73,197899
164,174633.38,197899
165,176827.13,197899
166,175214.09,197899
167,173369.62,197899
168,175391.55,197899
169,171821.49,197899
170,172269.99,197899
171,164953.73,197899
172,170983.34,197899
173,173067.82,200426
174,175635.94,200796
175,181691.48,200796
176,183907.04,200796
177,180530.11,200796
178,169255.88,200796
179,175118.88,200796
180,173944.3,200796
181,175915.16,200796
182,170548.43,200796
183,170873.88,200796
184,169165.41,202181
185,171269.17,202181
186,169661.77,202681
187,167876.36,202681
188,170042.44,202681
189,168275.06,202681
190,168642.28,202681
191,165103.83,202973
192,164920.51,202973
193,163018.43,202973
194,163548.2,202973
195,173607.66,202973
196,169475.22,202973
197,181484.48,202973
198,173937.59,203478
199,162128.56,203478
200,155948.99,203478
201,159831.22,203478
202,158015.02,203478
203,158203.06,204268
204,166128.21,206042
205,179899.92,206042
206,176153.5,206042
207,172327.91,206042
208,164834.86,206042
209,176720.42,206042
210,172905.47,206042
211,178751.42,206042
212,178532.14,206042
213,172485.74,206042
214,178587.06,206042
215,178613.14,206042
216,172627.18,206638
217,174605.73,206638
218,174870.76,206638
219,171003.7,209443
220,178819.43,209443
221,181189.98,209803
222,181646.95,209803
223,181724.22,209803
224,187844.55,209803
225,185811.3,209803
226,185803.23,209803
227,183835.32,209803
228,178285.4,209803
229,180588.67,209803
230,180854.39,209803
231,185099.96,209803
232,177349.19,209803
233,171465.77,209803
234,189542.22,209935
235,191364.44,209935
236,187501.66,209935
237,183616.58,209935
238,177708.61,209935
239,181707.64,209935
240,181718.59,209935
241,177683.82,209935
242,183950.23,211048
243,186080.08,211048
244,186200.53,211048
245,180616.06,211048
246,172575.71,211048
247,178595.89,211048
248,166528.33,211048
249,180630.67,211048
250,174734.15,211048
251,171095.44,211048
252,175420.57,211048
253,179667.73,212301
254,181736.43,212301
255,179584.14,212301
256,175606.53,212301
257,171723.92,212301
258,169821.59,212301
259,169926.58,212301
260,177988.76,212301
261,171899.4,213039
262,171736.08,213039
263,179850.38,213039
264,177837.51,213039
265,182079.83,213039
266,185838.64,213039
267,183542.88,213039
268,177753.06,213039
269,179914.7,213039
270,181969.65,213039
271,175784.89,213039
272,184059.1,213039
273,186520.2,213039
274,182507.91,213039
275,174121.29,213039
276,172048.16,213039
277,180067.55,213039
278,176308.11,213039
279,170011.15,213039
280,165986.58,213039
281,182345.23,213039
282,180343.54,213039
283,178305.31,213039
284,182615.2,213039
285,186676.14,213039
286,184806.44,213039
287,186875.77,213039
288,174701.63,213039
289,174827.01,213039
290,176999.09,213039
291,170752.24,213039
292,164731.23,213039
293,176788.17,213039
294,178824.09,213039
295,184857.26,213039
296,176514.37,213039
297,172683.13,213039
298,172935.9,213039
299,174942.39,213039
300,164797.81,213039
301,170736.21,213039
302,180856.07,213039
303,176681.89,213039
304,185029.91,213039
305,182785.1,213039
306,176459.53,213039
307,176639.44,213039
308,176713.29,213039
309,182681.8,213039
310,186923.7,213039
311,182900.3,213039
312,183033.72,213039
313,185201.9,213039
314,187278.18,213416
315,199646.51,213416
316,193891.26,213416
317,193704.47,213416
318,189648.1,213416
319,179432.85,213416
320,179272.9,213416
321,189509.44,213416
322,181189.62,213416
323,183131.34,213416
324,179151.49,213416
325,174938.44,213416
326,181323.57,213416
327,181105.63,213416
328,186988.41,213416
329,182939.13,213416
330,189253.04,213416
331,187141.4,213416
332,186979.56,213416
333,191187.74,214222
334,187006.53,214222
335,185124.42,214222
336,183143.45,214222
337,189303.14,214222
338,185255.76,214222
339,187503.92,214222
340,185798.36,214222
341,187857.36,214222
342,187768.32,215203
343,191726.33,215203
344,195919.44,215203
345,191798.62,215203
346,187431.56,215203
347,187394.59,215203
348,185361.01,215203
349,187760.82,215203
350,179825.35,215203
351,179927.33,216219
352,174124.09,216219
353,166355.24,216219
354,168488.09,216219
355,178895.02,216219
356,176887.69,216219
357,172996.44,216219
358,179208.05,216219
359,178963.97,216219
360,164744.62,216219
361,169182.25,216219
362,173284.96,216219
363,175142.05,216219
364,173060.72,216219
365,175141.14,216219
366,179611.23,216219
367,187629.24,216219
368,181406.92,216219
369,177612.16,216219
370,179643.03,216219
371,181473.0,216219
372,181250.39,216219
373,185205.18,216219
374,189271.93,216219
375,189414.82,216219
376,189153.56,216219
377,178847.4,216219
378,180663.4,216219
379,178967.47,216219
380,176890.02,216219
381,187303.9,216219
382,189549.75,216219
383,183614.74,216219
384,181670.35,216219
385,187604.01,216219
386,185306.06,216219
387,174870.32,216219
388,181021.19,216219
389,189435.92,216219
390,179281.88,216219
391,175251.87,216219
392,175112.54,216219
393,171053.24,216219
394,179317.97,216219
395,189621.32,216219
396,185232.9,216219
397,178947.72,216219
398,185378.76,216219
399,176678.85,216219
400,172573.14,216219
401,185056.32,216219
402,187174.55,216219
403,193599.28,216219
404,189430.06,216219
405,182993.14,216219
406,178940.45,216219
407,193634.13,216219
408,193602.03,216219
409,187263.37,216219
410,183341.42,216219
411,183384.67,216219
412,185331.62,216219
413,181315.65,216219
414,187272.18,216219
415,181054.39,216219
416,183070.87,216219
417,185262.0,216219
418,187334.26,216219
419,191254.73,216219
420,185137.82,216219
421,185122.59,216219
422,191419.3,216219
423,187303.16,216219
424,187310.59,216219
425,178997.13,216219
426,166630.61,216219
427,180896.59,216219
428,189167.32,216364
429,183394.82,216364
430,178887.28,216364
431,170671.23,216364
432,176914.82,216364
433,176639.52,216364
434,178565.9,216364
435,178934.56,216364
436,180954.04,216364
437,182883.24,216364
438,174513.32,216364
439,172523.22,216364
440,178905.7,216411
441,180820.63,216411
442,178855.78,216411
443,180890.33,216411
444,186991.91,216411
445,179008.56,216411
446,177134.55,216411
447,185245.14,216411
448,187184.34,216411
449,176696.14,216411
450,182706.15,216411
451,184506.29,216521
452,174169.48,216521
453,180311.32,216521
454,182720.55,216521
455,191021.03,216521
456,186919.56,216521
457,191204.41,216521
458,191226.29,216521
459,178879.4,216521
460,185445.34,216521
461,185446.69,216521
462,187428.86,216521
463,181213.88,216521
464,179391.02,216521
465,183413.38,216521
466,183028.15,216521
467,174837.14,216521
468,172692.13,216521
469,176849.77,216521
470,183367.15,216521
471,189611.87,216521
472,189757.85,216521
473,185496.24,216521
474,181306.62,216521
475,181418.75,216521
476,179169.03,216521
477,179058.2,216521
478,185381.57,216636
479,187124.86,216636
480,187224.8,216636
481,183115.57,216636
482,175008.25,216636
483,173126.13,216636
484,181356.21,216636
485,187462.25,216636
486,181443.07,216636
487,192026.05,216636
488,192043.22,216636
489,190303.31,216636
490,180220.7,216636
491,178237.03,216636
492,174041.37,216636
493,173917.36,216636
494,179878.5,216636
495,177704.63,216636
496,183747.54,216636
497,173507.76,216636
498,171363.85,216636
499,175472.55,216636
