genNum,genMean,genBest
1,0.0,0
2,1212.74,4053
3,3647.45,8110
4,6221.2,11603
5,8734.97,12890
6,11458.09,16058
7,14127.17,18547
8,16693.03,24038
9,19286.1,25482
10,22038.63,27299
11,24860.12,30507
12,27563.94,32417
13,30314.81,35930
14,32972.77,38976
15,35775.85,41636
16,38491.56,44064
17,41060.47,47345
18,43566.89,50147
19,46055.99,53413
20,48853.64,56034
21,51615.56,57528
22,54383.62,61687
23,57112.44,62892
24,59942.23,66368
25,62594.75,68434
26,63740.75,70599
27,65323.58,74780
28,59671.62,74861
29,59017.37,77679
30,57333.78,77679
31,58984.56,78514
32,56248.71,79219
33,56194.39,79219
34,52872.31,81966
35,56324.93,81966
36,55321.56,83542
37,59051.99,83542
38,51591.7,83542
39,50969.58,83542
40,52837.35,83542
41,52365.76,83542
42,55101.36,84483
43,53667.65,84483
44,51511.45,85322
45,50039.5,85322
46,55163.73,85322
47,57979.97,86677
48,55751.85,86677
49,54336.21,86677
50,52141.01,88310
51,51475.9,88310
52,55075.97,88310
53,51052.38,88310
54,53658.52,88763
55,52157.96,88763
56,56679.61,89332
57,56761.98,89332
58,51905.58,89332
59,53785.57,89606
60,52134.16,90106
61,50582.1,90106
62,55894.76,90106
63,55279.45,90106
64,51931.09,90381
65,55671.73,92435
66,52359.83,92435
67,55186.78,92435
68,57070.21,92435
69,57322.13,92989
70,53932.11,92989
71,57640.99,92989
72,55057.23,92989
73,59723.66,93272
74,59070.1,93781
75,56567.0,93781
76,58562.89,93781
77,57885.05,94035
78,61696.67,94035
79,60022.18,95029
80,57489.86,95029
81,57642.28,95603
82,52222.11,95603
83,58762.9,95657
84,57941.89,95657
85,56158.79,95657
86,58130.98,95657
87,58234.47,95657
88,56386.15,95657
89,56526.68,95657
90,58498.57,96333
91,55695.57,96333
92,59538.53,96333
93,52982.46,96333
94,53969.05,96903
95,57787.81,96903
96,54981.92,96903
97,55989.08,96903
98,57033.07,96903
99,57144.71,97481
100,57220.46,97481
101,56313.81,97690
102,55413.32,97690
103,56367.7,97690
104,56463.32,97690
105,56565.73,97839
106,56572.77,97839
107,54812.68,98859
108,57699.61,98859
109,59721.62,98859
110,57848.69,98859
111,59917.46,98859
112,58012.16,98859
113,61013.06,98859
114,60129.77,98859
115,55398.27,98859
116,59307.93,100157
117,53662.93,100157
118,61455.64,100157
119,56590.93,100157
120,59530.46,100157
121,59635.26,100157
122,61627.61,100157
123,57802.96,100609
124,62744.68,100609
125,58951.85,100609
126,60066.53,100609
127,61101.71,101514
128,60209.46,101514
129,62258.57,102172
130,63466.32,102490
131,59594.29,102490
132,64599.16,102490
133,65826.19,102490
134,65003.97,102490
135,61179.72,102490
136,58249.22,102490
137,61286.14,102790
138,56472.84,102790
139,61656.72,103985
140,66953.37,105218
141,67183.1,105218
142,62302.72,105218
143,61430.35,105218
144,59457.35,105218
145,59595.82,105218
146,57634.32,105218
147,59698.27,105218
148,56776.36,105596
149,57836.54,105596
150,59956.55,105596
151,61150.36,105641
152,60214.79,106640
153,60320.17,106640
154,67629.75,106746
155,70897.91,106746
156,58594.2,106746
157,57556.4,106746
158,66926.99,106746
159,63011.23,107075
160,69353.56,107075
161,65297.55,107157
162,66387.05,107157
163,57057.65,107612
164,64457.92,107612
165,61411.15,107612
166,61418.95,107612
167,60467.77,108540
168,65882.81,108540
169,64870.35,108540
170,68119.54,108540
171,62960.53,108540
172,65166.85,108954
173,64239.24,109144
174,67473.98,109144
175,63269.03,109144
176,68687.18,109144
177,63436.47,109144
178,66696.64,109144
179,66724.8,109597
180,66870.47,110563
181,70153.33,110563
182,64963.35,110563
183,61717.01,110563
184,62812.68,110563
185,65044.84,110563
186,69401.77,110563
