genNum,genMean,genBest
1,0.0,0
2,1221.14,4372
3,3671.72,9293
4,6243.41,10665
5,8921.5,13886
6,11562.1,16584
7,14273.23,19867
8,17188.82,23803
9,19969.98,24057
10,22666.78,28045
11,25201.29,31373
12,27760.53,33304
13,30523.81,36888
14,33354.8,39898
15,36235.55,43415
16,39310.97,45610
17,42296.45,49501
18,45196.72,52373
19,48004.52,55783
20,50854.01,57751
21,53441.38,60480
22,55949.49,64180
23,58858.92,65419
24,61360.15,69429
25,63939.05,71007
26,66514.72,75067
27,68841.14,76160
28,70973.58,77260
29,72834.19,77372
30,74609.25,78981
31,76422.34,80705
32,78030.46,84504
33,79566.88,84504
34,81089.09,85316
35,82808.71,87842
36,84490.06,89097
37,85939.89,90962
38,87086.3,91500
39,88209.51,91500
40,89216.28,93168
41,90365.86,94900
42,91334.79,96203
43,92599.4,96673
44,93816.74,100353
45,94852.88,100371
46,96033.11,101361
47,97275.64,102089
48,98683.7,102617
49,100010.85,103831
50,101204.5,104485
51,102324.45,104693
52,103177.79,106044
53,103861.53,106805
54,104726.04,108551
55,105668.32,109652
56,106578.51,112799
57,107399.69,112799
58,108422.73,112799
59,109228.39,112799
60,110184.97,113454
61,111201.5,114443
62,111969.26,114443
63,112642.8,114835
64,113345.75,116642
65,114187.87,117152
66,114897.69,117211
67,115470.45,120023
68,116257.46,120023
69,116871.91,120023
70,117536.69,121148
71,118302.28,122666
72,119080.59,122666
73,119888.83,122666
74,120647.81,124581
75,121465.35,124581
76,122074.4,124581
77,122691.58,124631
78,123168.76,125758
79,123755.52,127030
80,124372.55,127602
81,124973.86,127602
82,125655.27,128280
83,126297.66,128430
84,126853.42,128430
85,127189.91,128946
86,127642.76,130253
87,127980.57,130253
88,128369.57,130253
89,128710.47,130638
90,129157.62,131446
91,129592.17,131446
92,129983.64,132754
93,130442.05,132754
94,130771.1,133039
95,131074.15,133877
96,131464.68,133943
97,131888.76,134033
98,132439.69,134483
99,132848.18,134483
100,133197.18,135191
101,133552.22,135237
102,133938.07,135428
103,134209.9,136005
104,134577.79,136514
105,134892.6,136560
106,135187.5,137343
107,135518.15,137835
108,135873.79,137835
109,136184.16,137944
110,136582.65,137950
111,136940.65,138957
112,137149.26,138957
113,137467.51,138957
114,137747.94,139002
115,138062.41,140190
116,138441.72,142061
117,138794.3,142061
118,139160.4,142061
119,139525.57,142061
120,140015.12,142241
121,140426.15,142241
122,140875.62,143469
123,141267.67,143469
124,141527.41,143469
