genNum,genMean,genBest
1,0.0,0
2,1268.2,5784
3,3770.84,8109
4,6485.22,11492
5,9088.47,13490
6,11866.58,17582
7,14756.92,20708
8,17477.18,24175
9,20125.61,28964
10,22914.34,29596
11,26017.07,31364
12,29005.4,36538
13,31766.89,39672
14,34787.89,42275
15,38211.86,46615
16,41306.66,48705
17,44317.86,52977
18,47181.76,53429
19,50267.61,60497
20,52998.03,60796
21,55509.47,64125
22,58326.05,64125
23,60669.41,68937
24,63402.48,70707
25,65152.71,71601
26,62570.66,72877
27,58342.2,74650
28,60654.84,74650
29,54996.21,75438
30,54979.41,77680
31,54826.1,78051
32,53872.55,78051
33,59650.05,78747
34,57218.45,80047
35,60891.85,82159
36,58424.63,83364
37,59795.7,83364
38,59642.84,83364
39,61836.7,83364
40,59946.18,83979
41,57906.64,83979
42,64873.74,84980
43,61348.04,85381
44,62642.09,85668
45,61283.46,86101
46,64219.49,86666
47,59433.13,86732
48,59784.06,88057
49,61847.94,88717
50,63943.25,89315
51,62576.67,90420
52,60347.1,90420
53,65927.25,90906
54,60269.71,91722
55,68621.59,91722
56,61022.83,92274
57,63096.1,92384
58,63511.63,93263
59,64706.94,94272
60,61291.71,94272
61,60690.7,95079
62,62722.16,95079
63,62834.36,95079
64,63090.96,95674
65,63317.02,95774
66,64481.3,96118
67,66624.32,96118
68,67887.69,96663
69,65279.31,97429
70,60754.9,98110
71,67583.82,98110
72,64026.31,98371
73,68100.86,98522
74,62649.68,98522
75,65717.62,98522
76,67920.7,98869
77,68233.88,101283
78,70423.75,101283
79,68723.99,101283
80,65927.31,101283
81,70010.86,101283
82,70139.99,101530
83,75438.3,101609
84,67864.05,103356
85,68065.45,103356
86,68366.45,103356
87,75678.83,103356
88,75961.42,104194
89,71176.5,104194
90,70365.96,104194
91,68569.93,104218
92,71903.72,104784
93,68030.56,105121
94,71280.87,105749
95,72541.21,105749
96,74850.36,105749
97,69876.8,105749
98,73045.7,105749
99,73256.69,106876
100,76646.11,106899
101,75814.67,107696
102,76002.61,107696
103,64633.13,107961
104,73272.57,109098
105,74474.46,109098
106,67234.3,109098
107,72616.87,109098
108,78049.44,110525
109,78256.44,110525
110,70986.2,110525
111,76407.61,110525
112,72273.4,110525
113,73453.34,110525
114,69272.43,110525
115,72626.48,110824
116,77098.46,110824
117,75100.1,110824
118,73090.72,110824
119,73218.38,111782
120,76566.47,111782
121,70264.13,111782
122,73627.37,111782
123,70441.15,111782
124,74956.55,113060
125,77374.47,113060
126,80914.47,113060
127,76600.37,113426
128,79024.53,113426
129,82589.69,113752
130,76040.24,113752
131,79641.28,114724
132,78754.52,114768
133,77677.57,115463
134,77924.5,115964
135,81365.67,115964
136,75927.97,115964
137,72710.76,115964
138,80784.05,115964
139,82031.81,116289
140,80038.24,116581
141,77903.25,116581
142,76867.61,116581
143,73447.49,116581
144,75819.82,116581
145,74759.73,117206
146,76031.45,117206
147,70380.12,118040
148,75049.65,118040
149,72771.47,118040
150,77504.48,118040
151,73019.53,118040
152,75411.07,118040
153,78929.1,118040
154,80205.59,118040
