genNum,genMean,genBest
1,0.0,0
2,11416.254,36366
3,28210.197,60434
4,46863.725,84464
5,64657.439,103887
6,82968.258,122551
7,99696.667,142223
8,116354.494,159973
9,132469.546,176413
10,147602.092,194729
11,161894.863,203978
12,176114.327,220530
13,189784.678,232365
14,202363.526,233677
15,213734.125,250691
16,225444.609,264977
17,235908.308,282712
18,246098.838,285673
19,256099.539,298828
20,266545.961,316408
21,276777.702,330987
22,285251.799,336950
23,295206.436,338249
24,304218.093,345125
25,312375.731,349632
26,320542.797,352829
27,328182.187,363416
28,333875.106,366995
29,332232.368,366995
30,331884.644,370313
31,331260.871,379166
32,323660.94,380707
33,315172.953,380707
34,307646.784,380707
35,311143.718,384228
36,308167.042,384228
37,306911.573,386726
38,304139.229,392702
39,297839.438,393004
40,305345.646,393702
41,301146.384,393702
42,294561.421,393702
43,293090.702,397224
44,295993.657,397224
45,298375.505,401444
46,301621.89,401444
47,313000.199,401444
48,304944.47,401444
49,308633.713,401731
50,304461.338,401731
51,308454.468,404008
52,312233.635,406188
53,307970.004,406188
54,303230.14,408901
55,305425.812,408901
56,302815.55,411529
57,305627.667,411529
58,308902.052,411529
59,311628.812,412321
60,314155.706,412321
61,320660.375,412321
62,315657.675,414938
63,313304.177,414938
64,311552.525,414938
65,316252.707,418461
66,314374.494,418461
67,325058.719,418461
68,324820.025,418461
69,325332.798,418461
70,330337.06,419988
71,329334.602,419988
72,336095.159,424892
73,335016.274,424892
74,339099.321,424892
75,335209.055,426526
76,324885.857,426526
77,328839.819,426526
78,326420.856,428217
79,326821.626,428217
80,330344.165,428217
81,335009.11,428217
82,331120.449,428217
83,327644.828,428217
84,326004.078,428217
85,329452.876,428369
86,328060.478,428369
87,332901.73,432389
88,337994.987,432389
89,330947.446,432389
90,332036.755,432389
91,330287.213,432389
92,322340.428,433722
93,331944.068,433722
94,329262.2,434554
95,321663.141,434554
96,322536.539,434554
97,325501.685,434554
98,321935.597,434554
99,335757.249,434554
100,336257.241,434554
101,329534.395,436432
102,339330.605,436432
103,330078.182,436432
104,339448.605,436432
105,328440.773,436432
106,334288.189,436432
107,333721.801,436432
108,336206.089,437981
109,329344.885,437981
110,333717.413,437981
111,327707.2,438748
112,326973.714,438748
113,329946.963,438748
114,328672.788,440999
115,337047.935,440999
116,325304.698,440999
117,329497.02,440999
118,329321.912,440999
119,323153.465,440999
120,321479.286,440999
121,319092.358,440999
122,325309.515,440999
123,322274.408,440999
124,326665.99,440999
125,329220.657,440999
126,333587.618,440999
127,339474.926,440999
128,334047.869,440999
129,332836.909,440999
130,339866.029,440999
131,338515.286,441245
132,334296.837,441245
133,332793.714,441245
134,325548.651,441245
135,334176.475,441245
136,329900.101,441806
137,334051.937,445449
138,332216.23,445449
139,326894.243,445496
140,332487.407,445496
141,335998.113,445496
142,338790.763,445496
143,330199.193,445496
144,333876.096,446979
145,327574.782,446979
146,334167.873,446979
147,332716.762,446979
148,327320.009,446979
149,328522.536,446979
150,338184.743,446979
151,339509.974,446979
152,333190.691,446979
153,335480.734,446979
154,328978.825,446979
155,337985.172,446979
156,334353.654,446979
157,333379.745,446979
158,333117.261,446979
159,333697.791,446979
160,343222.38,446979
161,340428.989,446979
162,341979.299,446979
163,343254.658,446979
164,342607.826,446979
165,336174.571,446979
166,329825.743,448500
167,338268.742,448500
168,332523.152,448500
169,331005.46,448500
170,333426.389,448500
171,341582.293,448500
172,331856.937,448500
173,335520.014,448500
174,340768.947,448500
175,341657.9,448500
176,337807.177,448500
177,345469.292,450420
178,341461.26,450420
179,342752.299,450420
180,342530.452,450420
181,335023.229,450420
182,344045.714,450420
183,334359.967,450579
184,333168.336,450579
185,330496.539,450579
186,335651.319,450579
187,335776.58,452487
188,337199.067,452487
189,333880.159,452487
190,332135.711,452487
191,334512.23,452487
192,340404.318,452487
193,335573.599,452487
194,338804.391,452487
195,334752.223,452487
196,333014.326,452487
197,333391.695,452487
198,339764.086,452487
199,336879.246,452487
200,330152.612,452487
201,346251.25,453702
202,341132.96,453702
203,338413.623,453702
204,343473.862,453702
205,338835.796,453702
206,347518.075,453702
207,343421.819,453702
208,341517.492,453702
209,353628.152,453702
210,343509.106,453702
211,341885.73,453702
212,339963.686,453702
213,343482.511,453702
214,347785.91,455248
215,345255.004,455248
216,344301.306,455248
217,339762.562,455288
218,336179.927,455288
219,334686.932,455288
220,345727.366,455288
221,338980.124,455288
222,336614.432,455288
223,336899.06,455288
224,340648.495,455288
225,335922.243,455288
226,333149.686,455288
227,333837.016,455288
228,339044.859,455288
229,343570.886,455288
230,345147.805,456213
231,348479.997,456213
232,337564.093,456213
233,335214.539,456213
234,331098.356,456213
235,343453.204,456213
236,340819.713,456213
237,338608.817,457527
238,340344.426,457527
239,341364.998,457527
240,350933.32,457527
241,351363.383,457527
242,342472.04,457527
243,345745.641,457527
244,343938.273,459385
245,347973.034,459385
246,354433.185,459385
247,356579.154,459385
248,347258.303,459385
249,347944.619,459385
250,344657.311,460894
251,347012.282,460894
252,353649.959,460894
253,356323.836,460894
254,353900.37,460894
255,359616.117,460894
256,357178.844,463781
257,356552.459,463781
258,365718.335,463781
259,355149.356,463781
260,352199.339,463781
261,347828.37,463781
262,344941.391,463781
263,355045.45,463781
264,358883.967,463781
265,358117.017,463781
266,354556.455,463781
267,353160.343,463781
268,351558.458,463781
269,351728.935,463781
270,353845.547,463781
271,351434.837,463781
272,347084.141,463781
273,356104.546,463781
274,348961.038,465976
275,349978.059,465976
276,356654.669,465976
277,355785.325,465976
278,352713.407,465976
279,360825.327,465976
280,361675.428,465976
281,355697.388,465976
282,354120.517,465976
283,346762.218,465976
284,352063.932,465976
285,347108.384,465976
286,354171.046,465976
287,341004.682,465976
