genNum,genMean,genBest
1,0.0,0
2,1365.67,5184
3,3998.85,9429
4,6678.46,10814
5,9207.91,14040
6,11825.11,16396
7,14378.01,20628
8,17048.64,22895
9,19895.39,25192
10,22554.59,27731
11,25256.78,30462
12,28041.13,34047
13,30704.12,37336
14,33352.65,37910
15,36157.18,43905
16,38874.65,46672
17,41608.92,48218
18,44336.88,51120
19,47323.03,56863
20,49863.81,56863
21,52731.35,61470
22,55751.1,62953
23,58432.02,67099
24,61153.37,70970
25,64015.58,72771
26,67174.97,75496
27,70129.5,78297
28,72886.28,79272
29,75395.79,83419
30,78020.25,86852
31,80609.59,87330
32,83396.94,88263
33,85954.76,93117
34,88215.39,94711
35,90473.53,97653
36,93078.55,100115
37,95394.93,102031
38,97740.78,102903
39,100348.96,106013
40,102838.81,107472
41,105053.14,110217
42,107152.09,112724
43,109169.7,115941
44,111479.84,118293
45,113588.07,121132
46,115821.27,121132
47,118059.41,122433
48,119967.97,124665
49,121840.65,129140
50,123654.03,130561
51,125858.72,131289
52,128015.59,135441
53,130164.65,141282
54,132339.96,143277
55,134573.78,143277
56,136625.72,143277
57,138861.01,146939
58,141291.41,147195
59,143286.68,147195
60,144847.47,149739
61,146436.22,151274
62,147968.49,154310
63,149828.41,156323
64,151522.77,157827
65,153439.88,158900
66,155335.75,163346
67,156880.75,163346
68,158415.24,164400
69,160088.08,164400
70,161622.25,167001
71,163327.48,168010
72,164713.52,169860
73,166234.12,170032
74,168022.41,172358
75,169460.39,177785
76,170771.6,177951
77,172266.41,177951
78,173822.86,179202
79,175598.7,181808
80,177578.5,183490
81,179097.6,184336
82,180685.31,186204
83,182323.06,187646
84,183737.25,187798
85,184894.39,190282
86,186064.89,190812
87,187313.91,193424
88,188670.39,193424
89,189841.51,194414
90,191056.52,195612
91,192146.21,196631
92,193311.52,197797
93,194520.94,198392
94,195792.6,199151
95,196939.54,202447
96,197970.71,202447
97,199055.14,202742
98,200126.57,203731
99,201346.16,206522
100,202470.61,206522
101,203463.08,207149
102,204600.11,210306
103,205583.49,210306
104,206569.28,211787
105,207727.18,211787
106,208715.63,212043
107,207675.84,213377
108,208549.74,213377
109,194275.7,214547
110,192699.48,215215
111,186849.77,215236
112,195897.56,215689
113,192313.08,217457
114,192766.85,217457
115,180275.92,217457
116,193435.92,217457
117,193738.79,217457
118,187507.62,217457
119,185700.75,218791
120,183789.08,219084
121,188407.28,219084
122,177587.27,219408
123,186706.32,219408
124,186923.01,222156
125,180710.62,222156
126,191864.35,222156
127,192329.86,222156
128,192636.06,222156
129,182111.9,223017
130,184655.51,223017
131,189520.84,223017
132,183128.14,223432
133,194523.64,223459
134,194822.09,223459
135,197353.77,224256
136,182176.04,224820
137,186822.67,224820
138,182663.36,224827
139,185074.96,224827
140,180722.48,224894
141,196527.51,225464
142,194565.09,226731
143,190275.95,226731
144,192880.86,226837
145,181769.18,226837
146,188751.13,227990
147,191123.38,227990
148,189173.03,227990
149,202928.36,228920
150,171610.7,228920
151,194420.9,228920
152,194574.13,230339
153,195014.82,230514
154,195262.78,230514
155,204556.19,230514
156,205084.34,230936
157,191695.22,231552
158,189646.71,231552
159,199056.58,231552
160,197164.98,231552
161,183667.67,231552
162,192888.17,232739
163,197770.21,233482
164,209529.41,233482
165,200757.52,233482
166,201011.84,233694
167,196709.68,234115
168,197030.31,235952
169,199731.68,235952
170,190690.03,235952
171,200338.12,235952
172,200519.82,235952
173,205449.6,235952
174,198576.03,236608
175,194109.59,236608
176,196629.31,236608
177,201481.24,236647
178,192397.11,236647
179,187860.34,237310
180,211489.3,237310
181,190441.76,237310
182,193030.01,237449
183,204815.45,237449
184,190858.81,237900
185,207707.85,239080
186,205405.53,239080
187,205544.55,239559
188,201096.47,239559
189,201195.57,239559
190,210804.73,239559
191,218160.2,239559
192,206568.99,239864
193,199782.33,239864
194,199801.87,240659
195,202426.44,240659
196,202554.47,240659
197,197966.41,240659
198,197885.46,240659
199,200465.99,240659
200,195839.21,240659
201,198376.96,240659
202,212931.64,241070
203,196356.69,242010
204,194000.93,243050
205,189394.85,243050
206,206272.43,243050
207,201542.41,243050
208,208986.73,243050
209,199379.01,243050
210,216450.3,243050
211,211847.7,243233
212,212138.07,243345
213,209969.09,243414
214,210116.44,243414
215,202962.2,243414
216,215211.17,243868
217,201001.83,243868
218,208436.31,244847
219,198768.42,244847
220,199044.17,244847
221,203884.66,244847
222,196753.55,244847
223,208947.16,245144
224,206663.84,245269
225,214177.34,245269
226,204577.6,245269
227,202195.09,245269
228,199970.23,245269
229,202461.88,245728
230,214873.33,245728
231,190554.54,245728
232,219899.31,245952
233,207768.04,245952
234,203057.14,245952
235,210470.72,245952
236,200716.91,246417
237,208039.82,246417
238,208166.73,247132
239,203462.12,247132
240,218245.16,247351
241,210889.89,247351
242,208585.91,247351
243,203688.63,247446
244,203838.84,247588
245,208868.56,247588
246,199081.26,247879
247,204050.72,247879
248,211545.99,247904
249,204460.89,247960
250,211944.65,248530
251,207210.52,248530
252,214832.61,248530
253,214947.26,249801
254,200385.39,249801
255,210354.15,250289
256,205473.0,250289
257,203232.96,250289
258,208247.62,250289
259,206013.82,251464
260,208630.66,251464
261,208852.99,251464
262,224035.61,251664
263,214204.89,251664
264,216933.46,251664
265,212097.65,252106
266,224771.3,252106
267,214897.48,252106
268,210196.76,252106
269,207913.75,252106
270,202965.9,252106
271,223019.65,252106
272,210482.71,252106
273,205597.69,252106
274,200601.45,252106
275,208146.2,252859
276,198217.28,252859
277,210807.15,252859
278,208305.2,252859
279,215945.57,253253
280,208378.97,253253
281,223427.97,253253
282,216087.86,253253
283,216130.47,253253
284,201126.24,253253
285,208792.71,253666
286,193797.49,253666
287,201348.96,253666
288,206502.69,253666
289,206564.39,253666
290,201611.34,253666
291,204147.16,253666
292,209252.67,254053
293,214325.94,254425
294,217037.4,254425
295,217095.4,254425
296,212207.93,255074
297,217355.13,256720
298,207398.75,256720
299,204924.3,256720
300,205120.96,256720
301,215361.48,256720
302,223108.95,256720
303,218253.02,256966
304,220819.3,257093
305,221131.6,257115
306,221170.42,257115
307,221395.81,257115
308,211369.76,257115
309,231904.49,257953
310,214260.53,257953
311,206758.13,257953
312,217021.64,257953
313,219779.68,258173
314,222505.24,258173
315,214808.94,258173
316,220152.01,258173
317,215083.56,258173
318,212757.7,258173
319,212781.36,258173
320,207792.17,258173
321,212987.99,258173
322,212973.8,258220
323,205296.14,258220
324,228501.94,258220
325,218343.84,258362
326,197831.36,258362
327,205493.18,258362
328,223495.86,258362
329,221074.16,258453
330,221089.83,258453
331,213475.69,258642
332,205796.4,258642
333,218664.58,258734
334,213539.99,259126
335,231594.11,259126
336,203310.84,259126
337,195719.85,259154
338,211213.37,259154
339,206050.5,259154
340,208635.93,259154
341,219004.96,259154
342,208815.11,259154
343,214010.37,260420
344,224429.28,260420
345,221883.69,260420
