genNum,genMean,genBest
1,0.0,0
2,1270.79,5221
3,3755.55,7821
4,6409.94,10733
5,8977.81,14177
6,11513.73,16983
7,14180.27,19174
8,17163.87,22099
9,19796.25,24655
10,22364.93,28344
11,24960.03,29465
12,27940.41,33877
13,30565.98,36410
14,33170.41,40491
15,35732.71,41313
16,38754.96,44283
17,41614.47,47707
18,44289.82,51509
19,47068.3,54105
20,49882.67,58261
21,52625.34,58710
22,55507.1,65204
23,58214.19,66952
24,60960.03,68150
25,63758.08,69260
26,66448.44,71774
27,68972.87,73731
28,71412.06,75866
29,73510.64,80808
30,75766.85,84390
31,78332.81,84923
32,80897.1,89960
33,83372.63,89960
34,85906.05,90977
35,88274.28,93596
36,90382.47,97371
37,92752.76,99657
38,95257.0,103006
39,97842.74,103006
40,100208.09,105603
41,102614.47,112305
42,104834.32,112305
43,107154.12,116284
44,109447.84,117631
45,111782.91,118041
46,113924.37,118559
47,116146.92,121315
48,118673.52,123231
49,120551.27,124777
50,122336.56,126718
51,124056.74,129521
52,126014.09,131153
53,128009.05,134839
54,129982.23,137569
55,132067.86,140667
56,134273.9,140667
57,136499.87,144120
58,138547.62,144120
59,140376.68,146019
60,142060.69,150700
61,143972.37,150700
62,145683.26,151675
63,147758.65,153986
64,149964.16,157320
65,152118.8,157560
66,153951.61,158610
67,155866.45,161566
68,157608.92,163597
69,159465.09,167651
70,161178.27,167651
71,163032.21,171852
72,164833.08,171852
73,166792.88,172657
74,168446.86,174209
75,170161.09,176425
76,171831.74,180376
77,173672.49,181480
78,175692.79,181615
79,177435.63,183409
80,179330.04,184045
81,180898.87,185753
82,182253.45,188345
83,183327.14,188345
84,184392.68,189147
85,185658.45,191099
86,186914.3,191568
87,188058.22,195963
88,189066.89,195963
89,190340.47,196112
90,191795.92,197190
91,193467.5,199805
92,194981.85,199911
93,196221.65,201254
94,197513.36,202498
95,198735.68,203053
96,200145.86,204879
97,201400.75,208502
98,202538.62,208502
99,203730.63,208574
100,204924.21,208730
101,206118.54,208854
102,207154.69,211052
103,208124.59,211981
104,209061.3,213403
105,209942.96,213906
106,210964.2,214150
107,211979.23,215777
108,212790.79,216614
109,213608.54,217953
110,214264.99,217953
111,215145.64,218746
112,215828.16,219437
113,216610.92,219437
114,217050.0,220325
115,217594.05,222134
116,218395.55,222207
117,219141.15,222207
118,219850.62,222342
119,220470.85,223065
120,220984.01,223065
121,221468.96,223394
122,221891.95,223737
123,222239.23,224219
124,222548.68,224782
125,222968.99,226168
126,223366.04,227274
127,223700.55,227274
128,224223.68,227274
129,224812.82,227895
130,225322.58,227914
131,225808.19,228425
132,226260.7,229113
133,226806.34,229631
134,227059.26,230157
135,227414.77,230157
136,227750.37,230269
137,228204.63,231048
138,228684.55,231729
139,229040.97,231729
140,229358.5,231729
141,229756.0,233350
142,230121.62,233350
143,230405.36,233930
144,230831.18,233930
145,231214.51,233930
146,231638.86,234204
147,232028.8,234204
148,232399.69,234370
149,232660.38,235034
150,232924.63,236131
151,233203.76,236131
152,233415.43,236131
153,233768.78,236131
154,234173.93,237330
155,234507.27,237330
156,234766.71,237330
157,235305.51,238504
158,235811.67,239219
159,236404.03,239219
160,236937.45,239864
161,237421.95,239864
162,237664.45,239864
163,238125.04,240198
164,238506.69,241048
165,238717.72,241048
166,239130.9,242256
167,239429.49,242256
168,239903.14,242830
169,240380.74,242830
170,240659.31,242830
171,241010.08,244381
172,241560.4,244381
173,241919.99,244951
174,242194.84,244951
175,242560.13,244951
176,242959.53,245303
177,243289.83,245303
178,243691.68,245493
179,243771.14,246003
180,244150.6,246769
