genNum,genMean,genBest
1,0.0,0
2,1291.0,4537
3,3733.47,9166
4,6265.39,14303
5,9058.03,18138
6,12010.24,19503
7,15020.14,23002
8,18165.31,27352
9,21037.98,27352
10,23998.03,30110
11,26946.66,34486
12,29950.88,36028
13,33218.68,38612
14,36094.41,42101
15,38855.55,44141
16,41558.46,48356
17,44391.46,49422
18,46937.7,55180
19,49568.05,58978
20,52312.09,63312
21,55610.02,63312
22,58625.42,68111
23,61786.91,71678
24,64845.33,72149
25,68151.58,76898
26,70872.98,76898
27,73414.71,81537
28,76099.5,81537
29,78739.9,84482
30,81486.48,88510
31,83921.41,91325
32,86372.68,92768
33,88762.54,95098
34,90923.43,96661
35,93220.4,99434
36,95577.61,101324
37,98104.3,103432
38,100245.1,107768
39,102334.1,108502
40,104483.32,109516
41,106715.8,113518
42,109113.28,116715
43,111367.89,119432
44,113796.14,119899
45,115704.94,122035
46,117948.93,124579
47,120045.93,126986
48,122146.32,128332
49,124137.83,129108
50,125990.75,129502
51,127712.55,132108
52,129501.41,135648
53,131307.43,137497
54,133329.3,140285
55,135451.83,141711
56,137502.6,145403
57,139761.63,146569
58,141929.18,149320
59,144018.26,152394
60,146142.89,152394
61,148308.42,155182
62,150544.36,155847
63,152369.9,159565
64,154299.25,162255
65,156120.5,162507
66,157958.7,164931
67,159675.35,165384
68,161329.78,169190
69,163076.94,169190
70,164619.58,169190
71,166308.26,171314
72,167714.85,173144
73,169050.07,173389
74,170165.04,176552
75,171694.66,177027
76,173151.81,177833
77,174540.72,178156
78,175918.0,180131
79,177315.46,181488
80,178485.89,182161
81,179673.79,183613
82,180770.94,184629
83,181866.49,188149
84,183239.56,189005
85,184367.12,189147
86,185608.47,190496
87,186886.38,192671
88,188252.12,193698
89,189667.75,193939
90,191117.29,197880
91,192379.94,197880
92,193673.02,197880
93,194685.67,199312
94,195898.14,200345
95,197151.56,205286
96,198470.4,205286
97,199756.66,205588
98,201194.18,205964
99,202631.91,207104
100,203813.0,207259
101,204934.72,211673
102,205850.08,214218
103,206992.63,214218
104,208148.47,214218
105,209452.97,214839
106,208720.99,214839
107,209811.06,215736
108,206479.45,215736
109,200834.58,217596
110,209947.26,217596
111,212727.94,217596
112,204615.67,218754
113,209466.31,218754
114,196866.62,219831
115,203836.39,220082
116,206507.26,220082
117,198125.38,220551
118,198425.6,220551
119,196729.42,221608
120,201579.93,223083
121,197534.05,223083
122,204493.31,225058
123,202878.54,225058
124,205633.6,225058
125,201825.62,225504
126,206761.23,225504
127,198251.57,226312
128,205195.9,226817
129,201118.15,226817
130,199195.67,226817
131,201630.7,227464
132,199679.64,227464
133,188680.27,227464
134,204685.18,227492
135,205085.1,227578
136,209898.69,227783
137,212413.78,228026
138,201405.59,229696
139,199519.9,230009
140,204270.44,230009
141,213627.88,230443
142,204781.61,230524
143,205175.0,232108
144,212467.87,232108
145,210549.34,232108
146,208698.03,232108
147,213676.79,232255
148,204597.9,232358
149,205040.36,232358
150,200586.53,232595
151,205381.7,232595
152,205606.67,233652
153,215173.65,234172
154,203686.47,234172
155,206246.54,234236
156,215902.17,234849
157,206945.0,234849
158,207164.4,235158
159,209685.96,235158
160,212369.97,235158
161,210390.14,235757
162,217614.42,235757
163,220107.03,235968
164,213281.72,236384
165,208636.38,236384
166,213490.32,237352
167,211358.48,237352
168,213910.35,237352
169,211889.29,237991
170,212150.23,238198
171,212440.09,238198
172,212618.3,238198
173,219939.99,238942
174,213014.2,238942
175,208235.96,238942
176,210902.55,240406
177,201478.61,240406
178,227910.6,240406
179,199547.94,240406
180,211697.78,240406
181,202237.92,240406
182,214339.05,240406
183,209680.01,240406
184,214572.82,240406
185,209893.64,240406
186,212502.5,240406
187,215019.09,240570
188,212731.88,240655
189,208142.87,240877
190,222514.96,241116
191,213139.31,241154
192,215615.71,241154
193,215772.0,241770
194,208541.85,241855
195,213495.47,241968
196,206403.17,242386
197,216194.74,242487
198,194577.37,242487
199,214010.63,242487
200,221425.63,242519
201,204633.82,242674
202,207079.65,242674
203,214388.84,242957
204,224287.63,243190
205,210016.72,243190
206,224679.5,243864
207,210347.4,243864
208,205700.66,243864
209,220189.68,243864
210,215544.49,243968
211,208362.36,244003
212,222977.59,244449
213,215868.85,244449
214,223276.13,245188
215,201575.05,245188
216,216291.15,246997
217,221372.26,246997
218,221666.17,246997
219,214534.88,246997
220,224484.36,247242
221,210116.68,247242
222,222663.11,248656
223,212960.99,248656
224,213268.18,248656
225,213488.84,248656
226,213676.49,248656
227,228571.6,249171
228,221428.11,249171
229,209328.55,249171
230,219388.82,249171
231,222158.6,249171
232,217412.1,249171
233,212557.36,249195
234,227469.42,249715
235,232694.11,250160
236,210557.17,250522
237,218078.67,250522
238,225798.55,250667
239,215854.28,250667
240,225910.27,250667
241,228582.89,250667
242,228689.15,250747
243,228936.29,251806
244,226568.11,251806
245,214417.61,251806
246,219567.37,252699
247,212258.31,252699
248,227258.85,252699
249,227424.44,252699
250,235137.46,252699
251,215171.76,252699
252,225311.7,252699
253,225391.47,252699
254,222975.37,252863
255,243191.2,252863
256,235840.95,252863
257,225967.15,253944
258,216064.48,253944
259,221150.27,253944
260,221207.44,254124
261,226321.03,254124
262,211417.57,254124
263,213986.98,254282
264,229197.94,254399
265,214242.5,254399
266,229417.73,254399
267,234684.54,254399
268,224746.37,254399
269,222175.91,254399
270,222199.45,254399
271,229969.5,254399
272,214946.62,254399
273,222605.46,254724
274,227669.76,254724
275,235488.73,254929
276,210274.76,255484
277,225701.85,255484
278,230783.95,255484
279,220932.38,255776
280,228637.41,255776
281,226090.21,255776
282,215921.98,255776
283,223671.42,255776
284,218664.53,255900
285,221224.29,255900
286,228832.77,255900
287,213661.69,255976
288,211210.78,255976
289,229120.96,256880
290,231688.78,257453
291,234408.1,257453
292,242122.02,257453
293,229579.51,257453
294,234805.32,257453
295,224780.26,257453
296,237629.8,257609
297,224967.74,257609
298,235404.59,257609
299,232936.31,258324
300,222903.73,258324
301,233253.56,258324
302,241135.28,258324
303,218133.89,258784
304,228588.62,259488
305,233734.17,259488
306,236462.08,259488
307,226389.47,259488
308,218688.2,259488
309,236911.18,259488
310,226641.01,259488
311,226590.86,259488
312,229433.64,259488
313,224273.48,259504
